Region,Technology,Year,,Unit,Source,Updated at,Updated by
CH,P_Nuclear,2011,,Year,https://www.uvek.admin.ch/uvek/de/home/uvek/abstimmungen/atomausstiegsinitiative.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
IT,P_Nuclear,1987,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
AT,P_Nuclear,1978,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
DE,P_Nuclear,2020,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
LT,P_Nuclear,2020,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
LU,P_Nuclear,2020,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
NO,P_Nuclear,2020,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
NL,P_Nuclear,2020,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
DK,P_Nuclear,1985,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
IR,P_Nuclear,1999,,Year,https://www.bmk.gv.at/themen/klima_umwelt/nuklearpolitik/euratom/eu.html,06.09.2024,"Herpich, Philipp <phe@wip.tu-berlin.de>"
