Region,Value,Unnamed: 2,Unit,Source,Updated at,Updated by
AL,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
AT,400,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BA,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BE,200,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BG,2700,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
CH,2600,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
CZ,2700,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
DE,20000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
DK,16000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
ES,13000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
FI,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
FR,28000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
GR,2200,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
HR,700,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
HU,40,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
IE,8700,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
IT,2900,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
LU,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
ME,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
MK,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
NL,400,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
NO,70000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
PL,13000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
PT,3800,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
RO,22600,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
RS,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
SE,3400,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
SI,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
SK,1400,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
UA,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
