Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,1.788953816,1.86631691,1.83380769,1.861749527,1.822758985,1.825531296,1.748217588,1.771670302,1.754125145,1.81160152,1.83380769,1.83380769,1.83380769,1.762930799,1.805981498,1.86631691,1.874298336,1.754125145,1.805981498,1.794657854,1.83380769,1.754125145,1.83380769,1.83380769,1.762930799,1.771670302,1.771670302,1.771670302,1.83380769,1.83380769,1.788953816,1.825531296,1.81160152,1.805981498,1.805981498
2,1.572313302,1.636807592,1.609706051,1.636293525,1.60049522,1.602806376,1.538353257,1.557904778,1.543278134,1.59119372,1.609706051,1.609706051,1.609706051,1.550619029,1.586508549,1.636807592,1.643461365,1.543278134,1.586508549,1.577068513,1.609706051,1.543278134,1.609706051,1.609706051,1.550619029,1.557904778,1.557904778,1.557904778,1.609706051,1.609706051,1.572313302,1.602806376,1.59119372,1.586508549,1.586508549
3,1.355672787,1.407298274,1.385604412,1.410837522,1.378231455,1.380081457,1.328488925,1.344139253,1.332431122,1.37078592,1.385604412,1.385604412,1.385604412,1.338307259,1.3670356,1.407298274,1.412624393,1.332431122,1.3670356,1.359479172,1.385604412,1.332431122,1.385604412,1.385604412,1.338307259,1.344139253,1.344139253,1.344139253,1.385604412,1.385604412,1.355672787,1.380081457,1.37078592,1.3670356,1.3670356
4,1.139032273,1.177788956,1.161502772,1.18538152,1.155967689,1.157356537,1.118624594,1.130373729,1.121584111,1.15037812,1.161502772,1.161502772,1.161502772,1.12599549,1.147562651,1.177788956,1.181787421,1.121584111,1.147562651,1.141889831,1.161502772,1.121584111,1.161502772,1.161502772,1.12599549,1.130373729,1.130373729,1.130373729,1.161502772,1.161502772,1.139032273,1.157356537,1.15037812,1.147562651,1.147562651
5,0.922391758,0.948279638,0.937401133,0.959925518,0.933703924,0.934631617,0.908760263,0.916608205,0.910737099,0.92997032,0.937401133,0.937401133,0.937401133,0.91368372,0.928089702,0.948279638,0.950950449,0.910737099,0.928089702,0.92430049,0.937401133,0.910737099,0.937401133,0.937401133,0.91368372,0.916608205,0.916608205,0.916608205,0.937401133,0.937401133,0.922391758,0.934631617,0.92997032,0.928089702,0.928089702
6,0.705751243,0.71877032,0.713299494,0.734469516,0.711440159,0.711906698,0.698895932,0.702842681,0.699890088,0.70956252,0.713299494,0.713299494,0.713299494,0.70137195,0.708616753,0.71877032,0.720113477,0.699890088,0.708616753,0.70671115,0.713299494,0.699890088,0.713299494,0.713299494,0.70137195,0.702842681,0.702842681,0.702842681,0.713299494,0.713299494,0.705751243,0.711906698,0.70956252,0.708616753,0.708616753
7,0.489110729,0.489261002,0.489197855,0.509013514,0.489176393,0.489181778,0.489031601,0.489077157,0.489043076,0.489154721,0.489197855,0.489197855,0.489197855,0.489060181,0.489143804,0.489261002,0.489276506,0.489043076,0.489143804,0.489121809,0.489197855,0.489043076,0.489197855,0.489197855,0.489060181,0.489077157,0.489077157,0.489077157,0.489197855,0.489197855,0.489110729,0.489181778,0.489154721,0.489143804,0.489143804
8,0.272470214,0.259751684,0.265096216,0.283557511,0.266912628,0.266456859,0.27916727,0.275311632,0.278196065,0.268746921,0.265096216,0.265096216,0.265096216,0.276748411,0.269670855,0.259751684,0.258439534,0.278196065,0.269670855,0.271532468,0.265096216,0.278196065,0.265096216,0.265096216,0.276748411,0.275311632,0.275311632,0.275311632,0.265096216,0.265096216,0.272470214,0.266456859,0.268746921,0.269670855,0.269670855
9,0.409921119,0.388727816,0.397633584,0.426601538,0.400660331,0.399900868,0.421080643,0.414655868,0.419462292,0.403716874,0.397633584,0.397633584,0.397633584,0.417050019,0.405256456,0.388727816,0.386541337,0.419462292,0.405256456,0.408358521,0.397633584,0.419462292,0.397633584,0.397633584,0.417050019,0.414655868,0.414655868,0.414655868,0.397633584,0.397633584,0.409921119,0.399900868,0.403716874,0.405256456,0.405256456
10,1.030712015,1.063034297,1.049451953,1.072653519,1.044835807,1.045994077,1.013692429,1.023490967,1.016160605,1.04017422,1.049451953,1.049451953,1.049451953,1.019839605,1.037826177,1.063034297,1.066368935,1.016160605,1.037826177,1.033095161,1.049451953,1.016160605,1.049451953,1.049451953,1.019839605,1.023490967,1.023490967,1.023490967,1.049451953,1.049451953,1.030712015,1.045994077,1.04017422,1.037826177,1.037826177
11,0.651591115,0.661392991,0.657274084,0.678105515,0.655874217,0.656225468,0.646429849,0.6494013,0.647178335,0.654460571,0.657274084,0.657274084,0.657274084,0.648294008,0.653748516,0.661392991,0.662404235,0.647178335,0.653748516,0.652313814,0.657274084,0.647178335,0.657274084,0.657274084,0.648294008,0.6494013,0.6494013,0.6494013,0.657274084,0.657274084,0.651591115,0.656225468,0.654460571,0.653748516,0.653748516
