Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.43298654,0.33562514,0.23877411,0.32,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.42,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
2,0.43298654,0.33562514,0.23877411,0.32,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.46,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
3,0.43298654,0.33562514,0.23877411,0.32,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.45,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
4,0.43298654,0.33562514,0.23877411,0.31,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.44,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
5,0.43298654,0.33562514,0.23877411,0.29,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.43,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
6,0.43298654,0.33562514,0.23877411,0.27,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.43,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
7,0.43298654,0.33562514,0.23877411,0.26,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.44,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
8,0.43298654,0.33562514,0.23877411,0.26,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.45,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
9,0.43298654,0.33562514,0.23877411,0.25,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.46,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
10,0.43298654,0.33562514,0.23877411,0.24,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.47,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
11,0.43298654,0.33562514,0.23877411,0.25,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.47,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
12,0.43298654,0.33562514,0.23877411,0.25,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.49,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
13,0.43298654,0.33562514,0.23877411,0.25,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.5,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
14,0.43298654,0.33562514,0.23877411,0.27,0.37443734,0.46523953,0.46523953,0.30982809,0.67244093,0.46588095,0.3413189,0.56525496,0.71252753,0.56294764,0.27751806,0.23216031,0.33562514,0.564143959,0.23011715,0.50313386,0.282266238,0.51,0.3621861,0.29379456,0.5453689,0.27643942,0.27643942,0.26846163,0.408445624,0.3413189,0.43298654,0.46523953,0.46588095,0.27751806,0.23011715
